time_point	mutation_type	metric	term	estimate	std.error	statistic	p.value	p.format
Relapse	All	shared.muts	(Intercept)	8567.933139381375	4222.839769894491	2.0289505655563738	0.04740561706784609	0.047
Relapse	All	shared.muts	relapse_timingEarly Relapse	-8263.490337875093	3668.4685205363935	-2.252572235965876	0.02837255489534582	0.028
Relapse	All	shared.muts	relapse_timingLate Relapse	-8247.435314250903	3349.501126366418	-2.462287667058595	0.017027578033939537	0.017
Relapse	All	shared.muts	genome_coverage	52.75212082870337	95.10054693986942	0.5546983958153018	0.581391334003229	0.581
Relapse	All	shared.muts	genome_coverage_partner	125.06340748726751	93.70991249856345	1.3345803464407748	0.187613958579617	0.188
Relapse	All	unique_muts_percent	(Intercept)	22.851268971131752	11.529612910595235	1.9819632409456163	0.052582646754704455	0.0526
Relapse	All	unique_muts_percent	relapse_timingEarly Relapse	26.9111659263949	10.016013943513984	2.6868139439663636	0.009567195636320674	0.0096
Relapse	All	unique_muts_percent	relapse_timingLate Relapse	44.354973910609736	9.145137759174895	4.850115446988257	1.087161607511503e-5	<0.0001
Relapse	All	unique_muts_percent	genome_coverage	0.14445707815498043	0.25965287663045344	0.556346919894042	0.5802719855250715	0.5803
Relapse	All	unique_muts_percent	genome_coverage_partner	-0.4375287578595431	0.2558560295602175	-1.7100584207907736	0.09299576054341219	0.093
Relapse	All	unique_mutations	(Intercept)	639.0474236028577	2202.8303704444797	0.290102874999818	0.7728486575972444	0.773
Relapse	All	unique_mutations	relapse_timingEarly Relapse	2004.0214064698137	1913.6444455383642	1.047227666112251	0.2996594564923663	0.3
Relapse	All	unique_mutations	relapse_timingLate Relapse	5113.401655492873	1747.2561615053392	2.926532335755193	0.005005992311634899	0.005
Relapse	All	unique_mutations	genome_coverage	9.511568822999168	49.608885124774545	0.19173115459208567	0.8486719504387463	0.849
Relapse	All	unique_mutations	genome_coverage_partner	14.727961542599465	48.88346527736902	0.3012871828752674	0.7643526629843613	0.764
Relapse	Coding	shared.muts	(Intercept)	101.08909311408613	29.432541316713994	3.434602945980753	0.0011476662338618688	0.00115
Relapse	Coding	shared.muts	relapse_timingEarly Relapse	-76.58187000609165	25.568659286935198	-2.9951460945479704	0.004134711981087412	0.00413
Relapse	Coding	shared.muts	relapse_timingLate Relapse	-91.53340902564088	23.34550578854258	-3.9208149891772015	2.508851025360534e-4	0.00025
Relapse	Coding	shared.muts	genome_coverage	0.26563584263001766	0.6628361315067706	0.40075643134626604	0.6901807359701295	0.69018
Relapse	Coding	shared.muts	genome_coverage_partner	1.026796726761016	0.6531436241229998	1.5720841310205458	0.12177254128042188	0.12177
Relapse	Coding	unique_muts_percent	(Intercept)	30.41544072430324	12.899704609569135	2.3578400936204966	0.022033883419418865	0.022
Relapse	Coding	unique_muts_percent	relapse_timingEarly Relapse	35.978152703307664	11.206241028085454	3.210546035297476	0.002232532222498698	0.0022
Relapse	Coding	unique_muts_percent	relapse_timingLate Relapse	48.23755547621487	10.231876527161116	4.714438778474843	1.7459067527921606e-5	<0.0001
Relapse	Coding	unique_muts_percent	genome_coverage	0.17124504277025687	0.29050805395901413	0.5894674534373381	0.5580060512353213	0.558
Relapse	Coding	unique_muts_percent	genome_coverage_partner	-0.6661363119335799	0.28626001839758236	-2.327032310213831	0.023743417136537857	0.0237
Relapse	Coding	unique_mutations	(Intercept)	25.15874504435889	25.249233368669636	0.9964161951775128	0.3234921339105883	0.3235
Relapse	Coding	unique_mutations	relapse_timingEarly Relapse	30.71374260291965	21.934532880217695	1.400246030797389	0.16715934014007053	0.1672
Relapse	Coding	unique_mutations	relapse_timingLate Relapse	66.4849702032048	20.02736078483995	3.3197070206840094	0.0016192109266583204	0.0016
Relapse	Coding	unique_mutations	genome_coverage	-0.4744255358440026	0.5686258617463193	-0.8343368948907528	0.4077670248265238	0.4078
Relapse	Coding	unique_mutations	genome_coverage_partner	0.18975189080172408	0.5603109704759076	0.3386546057460838	0.7361832569179434	0.7362
Diagnosis	All	shared.muts	(Intercept)	8567.933139381372	4222.839769894491	2.028950565556373	0.04740561706784616	0.047
Diagnosis	All	shared.muts	relapse_timingEarly Relapse	-8263.490337875093	3668.4685205363935	-2.252572235965876	0.02837255489534582	0.028
Diagnosis	All	shared.muts	relapse_timingLate Relapse	-8247.4353142509	3349.501126366418	-2.4622876670585945	0.017027578033939565	0.017
Diagnosis	All	shared.muts	genome_coverage	125.06340748726754	93.70991249856347	1.3345803464407748	0.187613958579617	0.188
Diagnosis	All	shared.muts	genome_coverage_partner	52.75212082870342	95.10054693986943	0.5546983958153022	0.5813913340032288	0.581
Diagnosis	All	unique_muts_percent	(Intercept)	23.164876553936146	13.297982901380276	1.7419842336789082	0.08720485911837558	0.0872
Diagnosis	All	unique_muts_percent	relapse_timingEarly Relapse	16.809896451037325	11.552233643372082	1.45512088570696	0.15142470082929985	0.15142
Diagnosis	All	unique_muts_percent	relapse_timingLate Relapse	38.877245519597174	10.547785645129387	3.6858205909360113	5.296286263682199e-4	0.00053
Diagnosis	All	unique_muts_percent	genome_coverage	-0.15719348830712024	0.29509829451257497	-0.5326817918984	0.5964391987391175	0.59644
Diagnosis	All	unique_muts_percent	genome_coverage_partner	-0.17511781822283257	0.29947748814298336	-0.5847445138822048	0.5611548770527766	0.56115
Diagnosis	All	unique_mutations	(Intercept)	-994.1748269683396	2441.409611532861	-0.4072134484406072	0.6854609777991434	0.6855
Diagnosis	All	unique_mutations	relapse_timingEarly Relapse	984.1404311173611	2120.90318214159	0.4640194985815531	0.644498994954455	0.6445
Diagnosis	All	unique_mutations	relapse_timingLate Relapse	5603.703189298285	1936.4940867636647	2.893736277120983	0.005480171256234777	0.0055
Diagnosis	All	unique_mutations	genome_coverage	71.74305202196203	54.17782666085209	1.3242142855058867	0.1910096978759305	0.191
Diagnosis	All	unique_mutations	genome_coverage_partner	-20.363336843580417	54.981813663943576	-0.37036495318331875	0.7125593907017237	0.7126
Diagnosis	Coding	shared.muts	(Intercept)	101.08909311408611	29.432541316713998	3.4346029459807523	0.001147666233861873	0.00115
Diagnosis	Coding	shared.muts	relapse_timingEarly Relapse	-76.58187000609166	25.568659286935198	-2.995146094547971	0.004134711981087405	0.00413
Diagnosis	Coding	shared.muts	relapse_timingLate Relapse	-91.53340902564088	23.34550578854258	-3.9208149891772015	2.508851025360534e-4	0.00025
Diagnosis	Coding	shared.muts	genome_coverage	1.0267967267610163	0.6531436241229999	1.5720841310205458	0.12177254128042188	0.12177
Diagnosis	Coding	shared.muts	genome_coverage_partner	0.2656358426300178	0.6628361315067707	0.4007564313462662	0.6901807359701295	0.69018
Diagnosis	Coding	unique_muts_percent	(Intercept)	38.545994772319084	13.963824455054235	2.7604181717113523	0.007868835746183307	0.00787
Diagnosis	Coding	unique_muts_percent	relapse_timingEarly Relapse	22.906933232074003	12.130664015448215	1.8883494920725177	0.06435583613042829	0.06436
Diagnosis	Coding	unique_muts_percent	relapse_timingLate Relapse	42.01267687284492	11.075922433532376	3.793153764389994	3.775194762587675e-4	0.00038
Diagnosis	Coding	unique_muts_percent	genome_coverage	-0.6793188008282275	0.3098741224228661	-2.192241144619372	0.032692086560648835	0.03269
Diagnosis	Coding	unique_muts_percent	genome_coverage_partner	9.763906843033923e-4	0.3144725860818446	0.0031048515117603195	0.9975341328324643	0.99753
Diagnosis	Coding	unique_mutations	(Intercept)	6.778608776119038	29.397869730656154	0.23058163187417255	0.8185111926411375	0.8185
Diagnosis	Coding	unique_mutations	relapse_timingEarly Relapse	15.5280256195689	25.53853936078573	0.6080232467567072	0.545720938114431	0.5457
Diagnosis	Coding	unique_mutations	relapse_timingLate Relapse	67.46636662799753	23.31800474117119	2.893316446963245	0.005486502964878951	0.0055
Diagnosis	Coding	unique_mutations	genome_coverage	0.44153996640622273	0.6523742197712576	0.676820072014863	0.5014092420657001	0.5014
Diagnosis	Coding	unique_mutations	genome_coverage_partner	-0.35784486196945237	0.6620553093640787	-0.5405059923364585	0.5910706585486167	0.5911
