relapse_timing	metric	from	survival	conf_low	conf_high
Early Relapse	OS	HSCT	0.3966745916666923	0.27065344506380173	0.5813734668584929
Early Relapse	PFS	HSCT	0.322689075630252	0.21182507559738628	0.4915765484206506
Early Relapse	OS	Progression	0.2463920261660583	0.16144015065529096	0.37604666690284644
Early Relapse	PFS	Progression	0.19475908706677922	0.12283910825842925	0.30878685569163955
Primary Refractory	OS	HSCT	0.3246353089613278	0.18947104537625858	0.5562226334643018
Primary Refractory	PFS	HSCT	0.24242424242424243	0.13262850657897873	0.4431137379954685
Primary Refractory	OS	Progression	0.1412347628083493	0.08154678108585789	0.24461122756677403
Primary Refractory	PFS	Progression	0.0947368421052632	0.05088144445272659	0.17639179368062574
Late Relapse	OS	HSCT	0.6597071600306859	0.5034794887213756	0.8644116527984305
Late Relapse	PFS	HSCT	0.588336783988958	0.43389106715885883	0.7977582337912913
Late Relapse	OS	Progression	0.578954731915258	0.442729325647571	0.7570959549986775
Late Relapse	PFS	Progression	0.48553030303030303	0.3543500803634002	0.6652733785722227
