relapse_timing	metric	from	survival	conf_low	conf_high
Early Relapse	OS	HSCT	0.48384505748974316	0.3559272207485028	0.6577356999134144
Early Relapse	PFS	HSCT	0.349579831932773	0.23654720111357402	0.516624412881853
Early Relapse	OS	Progression	0.3005374343852662	0.21047340608416423	0.4291409121338583
Early Relapse	PFS	Progression	0.21098901098901082	0.13679114016219215	0.32543308510579144
Primary Refractory	OS	HSCT	0.40579413620165977	0.2612543730103363	0.6303009556480657
Primary Refractory	PFS	HSCT	0.27272727272727276	0.15622823675357442	0.47609937124605256
Primary Refractory	OS	Progression	0.17262026565464914	0.10752650887241944	0.2771200927767197
Primary Refractory	PFS	Progression	0.10526315789473689	0.058568445132937706	0.18918604352262292
Late Relapse	OS	HSCT	0.7916485920368229	0.6650711657747931	0.9423164399914764
Late Relapse	PFS	HSCT	0.7127926421404682	0.5766292320781884	0.8811092508412703
Late Relapse	OS	Progression	0.7247150997150995	0.6076642038645009	0.8643128432034154
Late Relapse	PFS	Progression	0.6002435064935066	0.4756870510807871	0.7574144939808987
